"","LDW","LDB","LDA","LDNAm","LDO","LDL","MDW","MDB","MDA","MDNAm","MDO","MDL","HD","sums"
"LDW",113,0,0,0,0,0,111,0,0,0,0,1,1,226
"LDB",0,15,0,0,0,0,0,8,0,0,0,0,0,23
"LDA",0,0,1,0,0,0,0,0,1,0,0,0,0,2
"LDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDL",0,0,0,0,0,367,0,0,0,0,0,24,0,391
"MDW",2,0,0,0,0,0,724,1,43,0,0,120,12,902
"MDB",0,0,0,0,0,0,0,44,0,0,0,34,4,82
"MDA",0,0,8,0,0,0,2,0,157,0,0,6,0,173
"MDNAm",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MDL",0,0,0,0,0,69,19,0,14,0,0,616,3,721
"HD",0,0,0,0,0,0,12,0,9,0,0,20,36,77
"sums",115,15,9,0,0,436,868,53,224,0,0,821,56,2597
